project_name,pub_time,ai_project_title,requirement_brief,requirement_desc,deadline,company_name,contact_name,contact_phone,province,city,budget,announcement_url,location_text
皇岗海关新皇岗口岸5G单兵查验系统采购项目,2026-03-28T20:33+08:00,无相关要求,无相关要求,无相关要求,2026-04-20,中华人民共和国皇岗海关,陈工,0755-88918226,广东,深圳市,120.00万元,http://www.ccgp.gov.cn/cggg/zygg/gkzb/202603/t20260328_26331078.htm,深圳市福田区福田南路22号皇岗海关
宣威市县域紧密型医共体集中审方中心信息系统采购项目,2026-03-28T14:36+08:00,无相关要求,无相关要求,无相关要求,2026-04-17,宣威市第一人民医院,李师,0874-7911990,云南,宣威市虹桥水田冲宣威市,251.00万元,http://www.ccgp.gov.cn/cggg/dfgg/gkzb/202603/t20260328_26330217.htm,宣威市虹桥水田冲宣威市第一人民医院
当涂县智慧公交信息化建设项目,2026-03-28T17:55+08:00,无相关要求,无相关要求,无相关要求,2026-04-17,当涂县交通运输局,沈诉华,0555-6740682,安徽,马鞍山市,329.26万元,http://www.ccgp.gov.cn/cggg/dfgg/gkzb/202603/t20260328_26330774.htm,安徽省马鞍山市当涂县梅塘路234号
浦江镇智慧道路停车管理,2026-03-28T16:59+08:00,无相关要求,无相关要求,无相关要求,2026-04-20,上海市闵行区浦江镇城市建设管理事务中心,王小瑛,13472536163,上海,上海市,104.28万元,http://www.ccgp.gov.cn/cggg/dfgg/gkzb/202603/t20260328_26330602.htm,上海市闵行区浦江镇沈杜公路2788号
蒙阴大队城区道路智能交通综合管控系统升级改造项目,2026-03-27T01:00+08:00,无相关要求,无相关要求,无相关要求,2026-04-16,临沂市公安局交通管理支队蒙阴高速大队,李孟,15153962777,山东,,219.00万元,http://www.ccgp.gov.cn/cggg/dfgg/gkzb/202603/t20260327_26321675.htm,蒙阴县云蒙路
高质量发展-学科建设轨道交通专业群工程测量智能实训平台建设项目,2026-03-27T09:57+08:00,无相关要求,无相关要求,无相关要求,2026-04-16,吉林铁道职业技术大学,王骏然,15948670066,吉林,,100.00万元,http://www.ccgp.gov.cn/cggg/dfgg/gkzb/202603/t20260327_26321966.htm,吉林永吉经济开发区吉桦东路1号
福泉市生活垃圾收运系统设备更新项目（F包）,2026-03-27T09:42+08:00,无相关要求,无相关要求,无相关要求,2026-04-17,福泉市综合行政执法局,程毅、林涛、宋杰,18084225551,贵州,福泉市,120.00万元,http://www.ccgp.gov.cn/cggg/dfgg/gkzb/202603/t20260327_26321914.htm,福泉市金山街道办事处洒金北路政务服务中心(3-4楼)
辽宁省规上工业企业智改数转诊断项目（一）,2026-03-27T17:30+08:00,无相关要求,无相关要求,无相关要求,2026-04-17,辽宁省工业和信息化厅,吴娜、马丽君、王磊,024-31513417,辽宁,沈阳市,696.90万元,http://www.ccgp.gov.cn/cggg/dfgg/gkzb/202603/t20260327_26326711.htm,辽宁省沈阳市皇姑区北陵大街45-2
智能制造实训基地项目（一期）,2026-03-27T17:24+08:00,无相关要求,无相关要求,无相关要求,2026-04-17,山西水利职业技术学院（运城校区）,崔旺、阎旭华、魏宇飞,15935155670,山西,运城市,670.00万元,http://www.ccgp.gov.cn/cggg/dfgg/gkzb/202603/t20260327_26326531.htm,山西省运城市安邑庙风西路34号
数智化铁道车辆智能制造实训室(四次),2026-03-27T14:07+08:00,AI驱动铁道车辆智能制造实训室建设,构建AI驱动的数智化铁道车辆智能制造实训室，实现教学全流程覆盖，包括智能评估、自动输送、视觉识别等功能，提升教学实训效率和质量。,"【背景概述】
项目构建数智化铁道车辆智能制造实训室，建设虚实结合、理实一体、AI驱动的现代化教学平台，覆盖认知学习、模拟仿真、实操训练、技能考核到质量管控全流程。

1、生产教学实训系统应基于继电器、接触器、熔断器、避雷器综合试验台，构建AI驱动的现代化教学平台，系统需覆盖从认知学习、模拟仿真、实操训练、技能考核到质量管控全流程。

2、系统应具备智能评估功能，自动对学生的操作规范性、数据准确性、结论正确性进行智能评估，并生成个人及班级的实训报告与分析。

3、全自动继电器试验台应包含配套机器人及视觉识别系统，具备自动输送、视觉识别功能，通过机器人手臂对继电器进行自动上、下料。

4、接触器、熔断器、避雷器综合试验台应包含配套机器人及视觉识别系统，具备自动输送、视觉识别功能。",2026-04-20,四川铁道职业学院,潘女士,028-87050033转2028,四川,成都市,112.00万元,http://www.ccgp.gov.cn/cggg/dfgg/gkzb/202603/t20260327_26323150.htm,四川省成都市郫都区安德街道彭温路399号
广东海洋大学人工智能综合应用创新实训中心建设项目,2026-03-27T16:07+08:00,无相关要求,无相关要求,无相关要求,2026-04-21,广东海洋大学,赵工,020-83186821（邮箱：gpcgd_zhaol@gd.gov.cn）,广东,湛江市,265.04万元,http://www.ccgp.gov.cn/cggg/dfgg/gkzb/202603/t20260327_26324617.htm,广东省湛江市麻章区海大路1号
平江县公安局2025年社会治安防控体系信息化应用- 本地数据汇集及应用项目,2026-03-27T16:34+08:00,平江县公安局视图大模型本地化试点建设,该项目旨在通过视图大模型技术提升平江县公安局的智能感知能力，更新警务运行模式，构建关注人员步态特征数据库，实现身份识别和布控预警，增强公安核心战斗力。,"【背景概述】
平江县公安局按公安部和省公安厅部署开展视图大模型本地化试点，旨在升级智能感知能力，更新警务运行模式，提升公安新质战斗力。

1. 视图大模型本地化试点建设：进行视图大模型(平江)本地化试点建设，借助大模型技术全面提升公安工作智能化水平，以机器换人力、以智能增效能，提高试点属地公安核心战斗力。

2. 步态特征数据库与身份识别预警：结合视频应用数据建立关注人员步态特征数据库，为实现对关注人员的身份识别、布控预警提供步态数据支撑。输入数据为视频应用数据，处理对象为关注人员，输出结果为步态特征数据库及布控预警信息。",2026-04-15,平江县公安局,刘康林,15842808080,湖南,,826.68万元,http://www.ccgp.gov.cn/cggg/dfgg/gkzb/202603/t20260327_26325250.htm,平江县
岳阳市DeepSeek大语言模型本地化部署政府采购服务项目（2026年3月~2029年3月）重新立项,2026-03-27T16:30+08:00,岳阳市DeepSeek大模型本地化部署服务,岳阳市数据局部署DeepSeek大语言模型，提供AI应用公共基座，支持各职能部门构建知识库与智能应用，实现全生命周期管理、应用开发支持、知识库管理、工具调用、算力调度、系统集成、系统稳定性与安全、运维服务及定制开发软件产权归属。,"【背景概述】
岳阳市数据局启动DeepSeek大语言模型本地化部署项目，采用集中统建模式，为本市各职能部门提供统一的大模型基础能力支撑，平台作为全市AI应用公共基座，支持各局（办、委）构建专属知识库与智能应用，采用本地化与云端算力资源池相结合的""训推分离""混合架构。

1、大模型基础能力建设：须采用集中统建模式，为本市各职能部门提供统一的、高性能的大模型基础能力支撑；平台应作为全市AI应用的公共基座，支持各局（办、委）在其基础上灵活构建专属知识库与智能应用；须构建本地化算力资源池与云端算力资源池相结合的""训推分离""混合架构。

2、大模型全生命周期管理：大模型管理模块须实现对大模型的全生命周期管理，涵盖上传、存储、训练、评估、部署等一站式服务。

3、应用开发智能支持：应用及开发智能模块须提供可视化的应用编排功能与低代码/无代码开发环境，集成多种AI算法与模型，支持智能体的敏捷开发与部署。

4、知识库管理：知识纳管模块须提供知识库的分类、录入、更新、检索及API调用等功能。

5、工具调用与管理：工具纳管模块须支持MCP协议实现内、外置工具的调用与管理，并提供自定义工具的开发与部署能力。

6、算力资源调度管理：算力纳管与调度须实现对GPU等算力资源的统一监控、负载管理与智能调度。

7、系统集成能力：须基于业界主流开发技术与标准，提供开放的API接口，以实现与岳阳市政务大数据分析、挖掘及数据开发工具的系统集成。

8、系统稳定性要求：须确保系统7×24小时连续运行，平均年故障时间＜1天，平均故障修复时间＜30分钟。

9、系统安全要求：须满足国家信息安全等级保护第三级要求，并复用政务云既有安全服务。

10、运维服务内容：须提供为期36个月的运维服务，内容包括大模型版本的更新与运维、平台系统的周期性升级与巡检、辅助知识库的时效性核查与内容更新、AI应用搭建的相关培训。

11、定制开发软件产权归属：为本项目定制开发的""AI应用管理平台""所产生的所有成果，包括但不限于源代码、目标代码、文档等的知识产权均归招标方所有。

12、培训服务要求：须针对各局、办、委的技术人员，提供涵盖大模型原理、平台操作及AI应用开发在内的系统性、实战化培训。",2026-04-08,岳阳市数据局,沈黄,0730-8692019,湖南,岳阳市,498.97万元,http://www.ccgp.gov.cn/cggg/dfgg/gkzb/202603/t20260327_26325103.htm,岳阳市岳阳楼区东茅岭路347号
农业盐碱环境智能监测平台设备采购,2026-03-27T21:30+08:00,农业盐碱环境智能监测平台建设,采购智能灌溉系统等设备，实现盐碱池、大棚智能化提升，实时监测盐碱度、土壤、水稻长势，构建水稻生育期识别模型，视频监控智能侦测，种子发芽率自动识别，田间作物表型监测与生育期识别，提高耐盐碱水稻品种选育效率。,"【背景概述】
计划采购农业智能灌溉系统等设备对现有盐碱池、大棚进行智能化提升，实时监测棚内盐池、碱池盐碱度及土壤、水稻长势，通过精准灌溉和智能控制保持胁迫条件一致，提高耐盐碱水稻品种选育效率。

1. 水稻生育期识别模型：在盐碱池数据综合管理平台上，利用图像识别技术及大数据识别模型，围绕水稻各个生育期的个体特征和群体特征进行生育期识别，至少包含返青期、分蘖期、拔节期、孕穗期、抽穗期、灌浆期、成熟期7个阶段，在正常光照、无遮挡情况下运行，同时根据实际监测结果不断熟化模型。

2. 视频监控智能侦测功能：视频监控设备支持区域入侵侦测、越界侦测、进入区域侦测和离开区域侦等智能侦测并联动跟踪。

3. 种子发芽率自动识别：基地管理APP具备种子发芽率自动识别功能，可通过图像识别在专用培养装置内直接分析种子数量、发芽数，并对发芽情况进行精准标记，可与气象、墒情数据在同平台上查看。

4. 田间作物表型监测与生育期识别：田间固定式植物表型监测系统定期获取图像解析植物群体株高、冠层覆盖率、植物生长表型指标、冠层颜色指标，可根据农作物生长状态自动识别水稻生育期（拔节期、抽穗期、扬花期、成熟期等），支撑按时间拟合植物生长曲线和植物长势分析，植物表型数据及图片可在盐碱池数据综合管理平台上查看分析。",2026-04-20,辽宁省盐碱地利用研究所,金先生,024-31695917-8527,辽宁,盘锦市,90.00万元,http://www.ccgp.gov.cn/cggg/dfgg/gkzb/202603/t20260327_26329366.htm,辽宁省盘锦市兴隆台区惠宾街101号
云南省烟邮研判大数据平台建设项目,2026-03-27T15:51+08:00,无相关要求,无相关要求,无相关要求,2026-04-21,云南省邮政管理局,张梦益,0871-63139599,云南,昆明市,131.60万元,http://www.ccgp.gov.cn/cggg/zygg/gkzb/202603/t20260327_26324229.htm,云南省昆明市关兴路225号
北京市生态环境分区管控大数据智能应用系统建设项目,2026-03-27T14:23+08:00,无相关要求,无相关要求,无相关要求,2026-04-17,北京市污染源管理事务中心,刘晴,62686397,北京,北京市,120.00万元,http://www.ccgp.gov.cn/cggg/dfgg/gkzb/202603/t20260327_26323259.htm,北京市海淀区车公庄西路14号
北京服装学院“服装学拔尖创新人才培养”教学科研设备更新项目（时尚管理学院）,2026-03-27T14:08+08:00,服装学拔尖创新人才培养教学科研设备更新,北京服装学院时尚管理学院更新教学科研设备，包括数智供应链实践操作台和数智化管理智能体应用与构建协作台，集成数字孪生、虚拟现实、人工智能技术，构建产业认知知识体系，实现智能体全程交互指导。,"【背景概述】
北京服装学院实施""服装学拔尖创新人才培养""教学科研设备更新项目，为时尚管理学院配置大数据分析、供应链实践及智能体应用等教学设备。

【AI需求点】
1、数智供应链实践操作台以数字孪生、虚拟现实、人工智能技术为基础，搭建产业微课堂、产业全景感知、产业现场感知、产业装备感知、产业典型人才感知五层产业认知知识体系，配备产业AI数字导师智能体全程交互指导。

2、数智化管理智能体应用与构建协作台采用智能体协同技术重构教学交互场景，设备支持多点触控交互、AI交互和智能硬件交互。",2026-04-20,北京服装学院,成志凯,51909015,北京,北京市,221.60万元,http://www.ccgp.gov.cn/cggg/dfgg/gkzb/202603/t20260327_26323157.htm,北京市朝阳区樱花东街甲2号
大东区智慧应急巡防工程之安全防护建设项目（二期）咨询服务,2026-03-27T11:30+08:00,无相关要求,无相关要求,无相关要求,2026-04-17,沈阳市大东区大数据管理中心,马辉,024-88113888,辽宁,沈阳市,115.00万元,http://www.ccgp.gov.cn/cggg/dfgg/gkzb/202603/t20260327_26322569.htm,沈阳市大东区大东路132号
医学基础实训中心设备采购,2026-03-27T17:30+08:00,无相关要求,无相关要求,无相关要求,2026-04-17,东莞职业技术学院,卢瑞玲,0769-28330643,广东,东莞市,674.67万元,http://www.ccgp.gov.cn/cggg/dfgg/gkzb/202603/t20260327_26326662.htm,东莞市松山湖大学路3号东莞职业技术学院行政楼
昆明理工大学教学科研仪器设备更新项目二期（城市学院）-1,2026-03-27T16:26+08:00,无相关要求,无相关要求,无相关要求,2026-04-20,昆明理工大学,朱云、郑艳、吕琦、刘海斌、师继承,0871-65322748,云南,昆明市,200.00万元,http://www.ccgp.gov.cn/cggg/dfgg/gkzb/202603/t20260327_26324990.htm,昆明市一二一大街文昌路68号
2026年第一批实验室建设项目（二）,2026-03-27T16:18+08:00,无相关要求,无相关要求,无相关要求,2026-03-26,湖南第一师范学院,邹琦,0731-85181563,湖南,长沙市,194.60万元,http://www.ccgp.gov.cn/cggg/dfgg/gkzb/202603/t20260327_26324774.htm,长沙市岳麓区枫林三路1015号
福建省长汀职业中专学校新校区建设项目（一期）PLC实训、工业机器人实训设备设施采购项目,2026-03-27T16:10+08:00,无相关要求,无相关要求,无相关要求,2026-04-17,福建省长汀职业中专学校,王女士,0597-6801195,福建,,335.00万元,http://www.ccgp.gov.cn/cggg/dfgg/gkzb/202603/t20260327_26324658.htm,福建省长汀县汀州镇江滨中路41号
华东交通大学全重盾构隧道3D视觉轮廓测量与病害识别检测机器人科研设备采购项目,2026-03-27T15:00+08:00,无相关要求,无相关要求,无相关要求,2026-04-07,华东交通大学,艾汕辉、黄颖慧、马俊、刘玲,0791-85239887,江西,南昌市,0.02万元,http://www.ccgp.gov.cn/cggg/dfgg/gkzb/202603/t20260327_26323586.htm,江西省南昌市经开区双港东大街808号
物联网实践教学基地,2026-03-27T14:44+08:00,无相关要求,无相关要求,无相关要求,2026-04-20,石家庄职业技术学院,张亮,0311-68123781,河北,石家庄市,100.00万元,http://www.ccgp.gov.cn/cggg/dfgg/gkzb/202603/t20260327_26323429.htm,石家庄市正定新区天宁路226号、227号
北京工业大学服务新质生产力发展推动交叉融合研究仪器设备更新项目-标段一,2026-03-27T11:47+08:00,无相关要求,无相关要求,无相关要求,2026-04-20,北京工业大学,崔丽洁,010-63509799-8038,北京,北京市,720.00万元,http://www.ccgp.gov.cn/cggg/dfgg/gkzb/202603/t20260327_26322692.htm,北京市朝阳区平乐园100号
青海职业技术大学2026年教学实训设备更新项目--工业机器人应用编程一体化教学创新平台,2026-03-27T11:37+08:00,无相关要求,无相关要求,无相关要求,2026-04-29,青海职业技术大学,赵女士、曹先生,0971-5228996,青海,西宁市,510.00万元,http://www.ccgp.gov.cn/cggg/dfgg/gkzb/202603/t20260327_26322614.htm,西宁市经二路66号
湖南机电职业技术学院智能算力基础平台项目,2026-03-27T16:32+08:00,无相关要求,无相关要求,无相关要求,2026-04-16,湖南机电职业技术学院,陈乐辉,89665170,湖南,·长沙市·市,320.81万元,http://www.ccgp.gov.cn/cggg/dfgg/gkzb/202603/t20260327_26325184.htm,湖南省·长沙市·市辖区
广东职业技术学院禅城校区综合宿舍楼弱电智能化项目,2026-03-27T21:35+08:00,无相关要求,无相关要求,无相关要求,2026-04-17,广东职业技术学院,陈小姐、苏先生,020-37619972,广东,佛山市,334.15万元,http://www.ccgp.gov.cn/cggg/dfgg/gkzb/202603/t20260327_26329373.htm,佛山市禅城区澜石二路20号
第九届数字中国建设峰会兵团布展服务项目,2026-03-27T21:15+08:00,无相关要求,无相关要求,无相关要求,2026-04-16,新疆生产建设兵团数据局,刘霄寒,15899055168,,,60.00万元,http://www.ccgp.gov.cn/cggg/dfgg/gkzb/202603/t20260327_26329343.htm,乌鲁木齐天山区光明路106号
工厂化智慧育秧设备采购及安装,2026-03-27T18:45+08:00,无相关要求,无相关要求,无相关要求,2026-04-20,兴东镇政府机关,陈燕,13961069761,江苏,兴化市,257.14万元,http://www.ccgp.gov.cn/cggg/dfgg/gkzb/202603/t20260327_26328120.htm,兴化市兴东镇园区北路1号
云南省公安厅交通警察总队高速公路交巡警支队道路交通技术监控及系统运维服务2025年项目,2026-03-27T18:21+08:00,云南高速智能交通系统运维服务,云南省公安厅交通警察总队高速公路交巡警支队需对昆石、昆曲等辖区智能交通系统设施进行全方位监测、智能研判、异常告警、派单维护及监管，以保障交通系统稳定运行。,"【背景概述】
云南省公安厅交通警察总队高速公路交巡警支队对昆石、昆曲、昆玉、昆楚、昆武、绕城高速等辖区已建设智能交通系统设施进行运维，包含视频监控、固定测速、区间测速、事件检测、高清卡口、LED诱导屏等前端设备巡检维护及后端平台运行维护工作。

1. 智能化运维服务：基于对各类设备和服务器进行全方位监测，对实时状态进行智能研判，对处于异常状态的设备进行发现、告警、派单、维护、监管。",2026-04-17,云南省公安厅交通管理总队,罗枝维、李宇、李娜、陈生媛、李杰、杨涵屹,0871-68101522,云南,昆明市,146.26万元,http://www.ccgp.gov.cn/cggg/dfgg/gkzb/202603/t20260327_26327723.htm,云南省昆明市盘龙区北京路1119号
度假区蓝藻水华防控处置服务项目,2026-03-27T17:36+08:00,无相关要求,无相关要求,无相关要求,2026-04-17,昆明滇池国家旅游度假区滇管水务局,李海燕、张健、何苗萍,19987759619、18987598199,云南,昆明市,319.79万元,http://www.ccgp.gov.cn/cggg/dfgg/gkzb/202603/t20260327_26326854.htm,云南省昆明市滇池路1389号
